station_number,station_name_english,stn_name_heb,first_data_date,last_data_date
120370,HAIFA ZRUBAVEL ST.,חיפה רח זרובבל,1976-09,1985-05
120400,HAIFA MT. KARMEL AHUZA,חיפה שכ' אחוזה,1932-12,1941-05
120420,HAIFA HATEKHNIYON,חיפה קריית הטכניון,1960-09,1968-05
120430,HAIFA NEWE SHAANAN,חיפה נוה שאנן,1986-09,2004-05
120450,HAIFA BET BIRAM,חיפה בית בירם,1956-09,1964-11
120500,KEFAR GALLIM,כפר גלים,1952-09,2008-05
120501,KEFAR GALLIM,כפר גלים,2012-09,2019-08
120530,HAIFA TECHNION,חיפה טכניון,2008-09,2024-04
120550,KARMEL GIVAT HAHAGANA,כרמל גבעת ההגנה,1955-09,1973-12
120551,KARMEL GIVAT HAHAGANA,כרמל גבעת ההגנה,1974-10,1978-12
120570,HAY BAR KARMEL,חי בר כרמל,2000-09,2024-04
120600,NESHER,נשר,1932-09,1973-10
120601,NESHER,נשר,1975-01,1980-03
120629,HAIFA UNIVERSITY,חיפה אוניברסיטה,2004-09,2024-04
120630,HAIFA UNIVERSITY MAN,חיפה אוניברסיטה מאוישת,1975-10,2024-04
120650,HURSHAT HA'ARBAIM - KHAREIBA,חורשת הארבעים - ח'ריבה,1941-10,1944-05
120700,HAHOTERIM,החותרים,1948-09,1959-05
120701,HAHOTERIM,החותרים,2021-08,2024-04
120750,YAGUR,יגור,1928-09,2024-04
120770,PARK HA KARMEL,פארק הכרמל,2000-09,2024-04
120790,DAMON,דמון,1985-04,1986-11
120800,BET OREN,בית אורן,1940-10,2024-04
120850,ISFIYA,עספיא,1946-02,1948-05
120860,NIR EZYON FIELDS,ניר עציון שדות,1954-09,2024-04
120870,NIR EZYON,ניר עציון,1950-09,2024-04
120900,ATLIT SALT CO,עתלית חב המלח,1928-09,2024-04
120920,ATLIT,עתלית,2005-11,2021-05
120950,ATLIT VILLAGE,עתלית מושבה,1935-09,1945-05
121000,DALIYAT AL-KARMEL,דאלית אל-כרמל,1942-09,1964-05
121030,DALIYAT AL-KARMEL,דאלית אל-כרמל,2007-09,2024-04
121050,EN KARMEL,עין כרמל,1947-10,1962-05
121051,EN KARMEL MAN,עין כרמל מאוישת,1962-10,2024-04
121055,EN KARMEL MAN 2,עין כרמל מאוישת 2,1993-09,2002-05
121056,EN KARMEL,עין כרמל,2002-09,2024-04
121100,NEWE YAM,נווה ים,1940-02,1964-05
121110,SHEMURAT NAHAL MEAROT,שמורת נחל מערות,2000-11,2024-04
121120,GEVA  KARMEL,גבע כרמל,1966-04,1979-05
121140,KEREM MAHARAL,"כרם מהר""""ל",1979-10,1988-05
121141,KEREM MAHARAL,"כרם מהר""""ל",1988-09,1991-05
121142,KEREM MAHARAL,"כרם מהר""""ל",1991-09,2024-04
121150,HABONIM,הבונים,1950-09,1978-05
121200,KEREM MAHARAL - IJZIM,"כרם מהר""""ל - איג'זים",1946-01,1948-05
121230,MEQURA FARM,מקורה חווה,1960-09,1979-12
121250,OFER,עופר,1958-09,1976-05
121251,OFER,עופר,1977-09,2012-10
121300,NAHSHOLIM,נחשולים,1943-01,1977-05
121350,RAMAT HASHOFET,רמת השופט,1942-09,2024-04
121360,NAHSHOLIM PLANTATIONS,נחשולים מטעים,1965-10,2024-04
121370,FUREIDIS,פוריידיס,1963-10,1965-05
121400,BAT SHELOMO,בת שלמה,1939-12,1985-05
121450,RAMOT MENASHE,רמות מנשה,1948-09,2012-05
121455,RAMOT MENASHE 2,רמות מנשה 2,1995-09,2024-04
121500,DALIYYA,דלייה,1940-09,2024-04
121540,EN HASHOFET MAN,עין השופט מאוישת,1997-01,2024-04
121541,EN HASHOFET,עין השופט,2002-09,2024-04
121550,EN HASHOFET KIBBUZ,עין השופט קיבוץ,1938-09,2024-04
121590,NAHAL DALIYYA,נחל דליה,1989-09,2016-03
121600,SHEFE'YA,שפיה,1930-09,1980-05
121601,SHEFE'YA,שפיה,1980-09,1997-05
121602,MEIR SHEFE'YA K.N,מאיר שפיה כפר הנוער,2000-09,2024-04
121610,MA'YAN ZEVI - NAZLE,מעיין צבי- פרדס נזלה,1939-09,1947-05
121630,MA'YAN ZEVI FIELDS,מעיין צבי שדות,1969-01,2016-06
121635,MA'YAN ZEVI POOLS,מעיין צבי בריכות,2016-08,2024-04
121650,MA'YAN ZEVI,מעיין צבי,1945-09,1968-12
121651,MA'YAN ZEVI,מעיין צבי,2018-08,2024-04
121700,ZIKHRON YAAQOV MAN,זכרון יעקב מאוישת,1905-01,2008-05
121702,ZIKHRON YA'AQOV,זכרון יעקב,2002-09,2024-04
121703,ZIKHRON YA'AQOV,זכרון יעקב,2006-09,2017-07
121704,ZIKHRON YA'AQOV,זכרון יעקב,2004-09,2006-05
121705,ZIKHRON YA'AQOV,זכרון יעקב,2001-09,2004-05
121710,ZIKHRON YAAQOV MAN,זכרון יעקב מאוישת,2008-09,2024-04
121750,MA'AGAN MIKHA'EL,מעגן מיכאל,1950-09,1974-05
121751,MA'AGAN MIKHA'EL,מעגן מיכאל,1974-09,1982-10
121800,AMMIQAM,עמיקם,1956-09,1999-05
121801,AMMIQAM,עמיקם,1999-09,2024-04
121850,GAL'ED (EVEN YIZHAQ),גלעד (אבן יצחק),1953-09,2004-10
121851,GAL'ED MAN,גלעד מאוישת,2004-11,2024-04
121852,GAL'ED,גלעד,2008-04,2024-04
121870,NAHAL TANINIM,נחל תנינים,2012-05,2024-04
121900,REGAVIM,רגבים,1949-09,2024-04
121950,GIV'AT ADA,גבעת עדה,1923-09,1955-05
121952,GIV'AT ADA,גבעת עדה,1998-01,2016-05
122000,UMM AL-FAHM,אום אל-פחם,1940-09,1959-05
122001,UMM AL-FAHM,אום אל-פחם,1959-09,1991-05
122002,UMM AL-FAHM,אום אל-פחם,1991-09,2024-04
122050,KEFAR GLIKSON - LAMAKOR,כפר גליקסון - למקור,1939-11,1945-05
122097,KEFAR GLIKSON,כפר גליקסון,1973-10,2024-04
122100,KEFAR GLIKSON,כפר גליקסון,1945-09,1973-05
122120,KAFAR QARA,כפר קרע,1993-09,1995-05
122150,ARA ARARA,ערה ערערה,1942-09,1967-05
122501,ME AMMI,מי עמי,1978-09,2003-05
122502,ME AMMI,מי עמי,2019-01,2024-04
130010,BINYAMINA,בנימינה,1958-09,1964-05
130011,BINYAMINA,בנימינה,1962-10,2024-04
130020,BINYAMINA WEST,בנימינה מערב,1965-01,2022-05
130050,QESARYYA,קיסריה,1921-09,1947-05
130070,QESARYYA GOLF CLUB,קיסריה מועדון הגולף,1960-09,1980-05
130071,QESARYYA,קיסריה,1962-09,1964-05
130098,SEDOT YAM,שדות ים,1982-10,2006-05
130099,SEDOT YAM,שדות ים,1977-10,1982-12
130100,SEDOT YAM,שדות ים,1950-09,1977-05
130200,MISHMAROT,משמרות,1940-09,1967-12
130220,EIN SAHLA,עין אל סהלה,1961-09,1971-11
130250,PARDES HANNA POST,פרדס חנה דאר,1929-09,1940-05
130350,PARDES HANNA SCHOOL,"פרדס חנה בי""""ס",1959-09,1964-05
130351,PARDES HANNA,פרדס חנה,1962-09,1973-05
130352,PARDES HANNA,פרדס חנה,2022-08,2024-04
130400,PARDES HANNA SOUTH,פרדס חנה דרום,1935-09,1939-10
130450,KARKUR,כרכור,1924-09,1934-05
130500,KEFAR PINES,כפר פינס,1959-09,1967-05
130501,KEFAR PINES,כפר פינס,1967-09,1999-05
130502,KEFAR PINES,כפר פינס,1999-09,2024-04
130550,BARQAY,ברקאי,1951-09,2024-04
130560,HARISH,חריש,1988-09,1993-05
130600,PARDES HANNA - MEGGED,פרדס חנה - מגד,1937-11,1944-05
130650,PARDES HANNA - TEL ALON,פרדס חנה - תל אלון,1930-09,1963-09
130700,PARDES HANNA - TEL SHALOM,פרדס חנה - תל שלום,1939-11,1960-05
130750,HEFZIBAH HADERA,חפציבה - חדרה,1950-09,1954-05
130800,DOMIRA FARM,חוות  דומירה,1957-09,1960-02
130850,GAN HASHOMERON,גן השומרון,1953-09,2024-04
130890,GAN HASHOMERON,גן השומרון,1967-09,1987-05
130900,EN SHEMER KIBBUZ,עין שמר קיבוץ,1934-09,1972-05
130901,EN SHEMER SCHOOL,"עין שמר בי""""ס",1960-09,1967-05
130950,MA'ANIT,מענית,1943-09,1947-12
130970,HADERA PORT,חדרה נמל,2006-03,2024-04
130980,HADERA POWER ST.,חדרה תחנת הכח,1992-09,2004-11
130981,HADERA POWER ST.,חדרה תחנת הכח,2004-12,2024-04
130990,HADERA,חדרה,1991-09,2013-05
131000,GAN SHEMU'EL,גן שמואל,1926-09,1991-02
131001,GAN SHEMU'EL,גן שמואל,1990-09,2016-07
131002,GAN SHEMU'EL,גן שמואל,2016-08,2021-07
131003,GAN SHEMU'EL,גן שמואל,2021-08,2024-04
131030,METZER STATION - MEKOROT,תחנת מצר - מקורות,1994-09,1999-05
131050,METZER,מצר,1954-09,2024-04
131100,HADERA SHNEURSON,חדרה שנארסון,1920-09,1965-05
131150,HADERA AGRIC. SCHOOL,"חדרה בי""""ס חקלאי",1940-09,1957-02
131170,HADERA AGRIC. SCHOOL,"חדרה בי""""ס חקלאי",1963-09,1988-05
131200,BAQA AL-GHARBIYA,בקה אל-גרביה,1942-09,1957-05
131201,BAQA AL-GHARBIYA,בקה אל-גרביה,1965-10,1971-12
131202,BAQA AL-GHARBIYA,בקה אל-גרביה,1971-10,1978-02
